Model,Borough,Predicted Complaint
Decision Tree,MANHATTAN,Illegal Fireworks
Decision Tree,MANHATTAN,Street Sign - Damaged
Decision Tree,BROOKLYN,Window Guard
Decision Tree,QUEENS,Illegal Posting
Decision Tree,STATEN ISLAND,Boilers
Decision Tree,STATEN ISLAND,Noise - House of Worship
Decision Tree,QUEENS,FLOORING/STAIRS
Decision Tree,BROOKLYN,Noise - Street/Sidewalk
Decision Tree,QUEENS,Harboring Bees/Wasps
Decision Tree,QUEENS,PLUMBING
Decision Tree,MANHATTAN,Noise - Street/Sidewalk
Decision Tree,STATEN ISLAND,Disorderly Youth
Decision Tree,BROOKLYN,Noise - Helicopter
Decision Tree,MANHATTAN,Dirty Condition
Decision Tree,BROOKLYN,Boilers
Decision Tree,STATEN ISLAND,Mobile Food Vendor
Decision Tree,MANHATTAN,Window Guard
Decision Tree,MANHATTAN,Illegal Posting
Decision Tree,STATEN ISLAND,Missed Collection
Decision Tree,MANHATTAN,Building Condition
Decision Tree,MANHATTAN,Harboring Bees/Wasps
Decision Tree,STATEN ISLAND,SAFETY
Decision Tree,MANHATTAN,Unleashed Dog
Decision Tree,QUEENS,Unleashed Dog
Decision Tree,STATEN ISLAND,Smoking
Decision Tree,QUEENS,Noise - Vehicle
Decision Tree,MANHATTAN,Noise - Commercial
Decision Tree,QUEENS,Water Conservation
Decision Tree,BROOKLYN,Graffiti
Decision Tree,STATEN ISLAND,Noise - Vehicle
Decision Tree,MANHATTAN,Cranes and Derricks
Decision Tree,STATEN ISLAND,Street Light Condition
Decision Tree,MANHATTAN,Street Light Condition
Decision Tree,BROOKLYN,Water Conservation
Decision Tree,BROOKLYN,General Construction/Plumbing
Decision Tree,MANHATTAN,Sidewalk Condition
Decision Tree,STATEN ISLAND,Noise - Street/Sidewalk
Decision Tree,Unspecified,Adopt-A-Basket
Decision Tree,MANHATTAN,Boilers
Decision Tree,MANHATTAN,SAFETY
Decision Tree,QUEENS,Noise - Helicopter
Decision Tree,MANHATTAN,Disorderly Youth
Decision Tree,QUEENS,Smoking
Decision Tree,BROOKLYN,Non-Emergency Police Matter
Decision Tree,BROOKLYN,Day Care
Decision Tree,BROOKLYN,Street Sign - Damaged
Decision Tree,MANHATTAN,Overgrown Tree/Branches
Decision Tree,STATEN ISLAND,General Construction/Plumbing
Decision Tree,BROOKLYN,Noise - Vehicle
Decision Tree,QUEENS,Illegal Fireworks
Decision Tree,MANHATTAN,FLOORING/STAIRS
Decision Tree,STATEN ISLAND,X-Ray Machine/Equipment
Decision Tree,MANHATTAN,Noise - Helicopter
Decision Tree,MANHATTAN,Bus Stop Shelter Complaint
Decision Tree,BROOKLYN,Panhandling
Decision Tree,STATEN ISLAND,Illegal Posting
Decision Tree,STATEN ISLAND,Food Poisoning
Decision Tree,BROOKLYN,Unleashed Dog
Decision Tree,MANHATTAN,Noise - Vehicle
Decision Tree,QUEENS,Panhandling
Decision Tree,Unspecified,Noise - Street/Sidewalk
Decision Tree,MANHATTAN,Adopt-A-Basket
Decision Tree,QUEENS,Lifeguard
Decision Tree,QUEENS,DEP Highway Condition
Decision Tree,BROOKLYN,Harboring Bees/Wasps
Decision Tree,STATEN ISLAND,Abandoned Bike
Decision Tree,BROOKLYN,Smoking
Decision Tree,STATEN ISLAND,Non-Emergency Police Matter
Decision Tree,STATEN ISLAND,Adopt-A-Basket
Decision Tree,STATEN ISLAND,Retailer Complaint
Decision Tree,MANHATTAN,Emergency Response Team (ERT)
Decision Tree,STATEN ISLAND,Oil or Gas Spill
Decision Tree,STATEN ISLAND,Dumpster Complaint
Decision Tree,Unspecified,Water Quality
Decision Tree,MANHATTAN,Water Conservation
Decision Tree,STATEN ISLAND,Transfer Station Complaint
Decision Tree,STATEN ISLAND,Harboring Bees/Wasps
Decision Tree,QUEENS,Non-Emergency Police Matter
Decision Tree,QUEENS,Missed Collection
Decision Tree,BROOKLYN,Noise - Commercial
Decision Tree,STATEN ISLAND,Day Care
Decision Tree,MANHATTAN,Panhandling
Decision Tree,MANHATTAN,Ferry Complaint
Decision Tree,MANHATTAN,Mobile Food Vendor
Decision Tree,MANHATTAN,Food Poisoning
Decision Tree,STATEN ISLAND,Borough Office
Decision Tree,MANHATTAN,Graffiti
Decision Tree,QUEENS,Cooling Tower
Decision Tree,STATEN ISLAND,Unleashed Dog
Decision Tree,STATEN ISLAND,FLOORING/STAIRS
Decision Tree,STATEN ISLAND,Dirty Condition
Decision Tree,STATEN ISLAND,Dept of Investigations
Decision Tree,QUEENS,Noise - House of Worship
Decision Tree,STATEN ISLAND,Window Guard
Decision Tree,STATEN ISLAND,Street Sign - Damaged
Decision Tree,STATEN ISLAND,Bus Stop Shelter Complaint
Decision Tree,MANHATTAN,Noise
Decision Tree,MANHATTAN,PAINT/PLASTER
Decision Tree,STATEN ISLAND,PLUMBING
Decision Tree,MANHATTAN,Day Care
Decision Tree,BROOKLYN,Illegal Posting
Decision Tree,Unspecified,Smoking
Decision Tree,Unspecified,PAINT/PLASTER
Decision Tree,QUEENS,Noise - Commercial
Decision Tree,MANHATTAN,Dead/Dying Tree
Decision Tree,Unspecified,Missed Collection
Decision Tree,BROOKLYN,Street Light Condition
Decision Tree,BROOKLYN,Street Sweeping Complaint
Decision Tree,STATEN ISLAND,ELEVATOR
Decision Tree,QUEENS,Noise - Street/Sidewalk
Decision Tree,BROOKLYN,Disorderly Youth
Decision Tree,BROOKLYN,Ferry Complaint
Decision Tree,Unspecified,Window Guard
Decision Tree,QUEENS,For Hire Vehicle Report
Decision Tree,STATEN ISLAND,Illegal Parking
Decision Tree,STATEN ISLAND,Building Condition
Decision Tree,QUEENS,General Construction/Plumbing
Decision Tree,QUEENS,Transfer Station Complaint
Decision Tree,MANHATTAN,Cooling Tower
Decision Tree,QUEENS,Water System
Decision Tree,STATEN ISLAND,Sidewalk Condition
Decision Tree,QUEENS,Electronics Waste Appointment
Decision Tree,QUEENS,Noise - Residential
Decision Tree,STATEN ISLAND,Noise - Helicopter
Decision Tree,BROOKLYN,Borough Office
Decision Tree,BROOKLYN,PLUMBING
Decision Tree,BROOKLYN,ELEVATOR
Decision Tree,STATEN ISLAND,Mold
Decision Tree,BROOKLYN,Emergency Response Team (ERT)
Decision Tree,STATEN ISLAND,Illegal Tree Damage
Decision Tree,QUEENS,Mobile Food Vendor
Decision Tree,Unspecified,Noise
Decision Tree,QUEENS,Lot Condition
Decision Tree,MANHATTAN,Non-Emergency Police Matter
Decision Tree,QUEENS,Non-Residential Heat
Decision Tree,STATEN ISLAND,Illegal Fireworks
Decision Tree,BROOKLYN,Squeegee
Decision Tree,MANHATTAN,PLUMBING
Decision Tree,STATEN ISLAND,Graffiti
Decision Tree,STATEN ISLAND,Highway Sign - Damaged
Decision Tree,MANHATTAN,Smoking
Decision Tree,BROOKLYN,Dirty Condition
Decision Tree,QUEENS,Window Guard
Decision Tree,BROOKLYN,Abandoned Bike
Decision Tree,Unspecified,Hazardous Materials
Decision Tree,QUEENS,Bus Stop Shelter Complaint
Decision Tree,Unspecified,Retailer Complaint
Decision Tree,MANHATTAN,ELEVATOR
Decision Tree,Unspecified,Boilers
Decision Tree,STATEN ISLAND,Noise
Decision Tree,STATEN ISLAND,Electronics Waste Appointment
Decision Tree,Unspecified,Cooling Tower
Decision Tree,MANHATTAN,Sanitation Worker or Vehicle Complaint
Decision Tree,QUEENS,Graffiti
Decision Tree,Unspecified,Illegal Posting
Decision Tree,STATEN ISLAND,Tattooing
Decision Tree,MANHATTAN,Transfer Station Complaint
Decision Tree,,Food Establishment
Decision Tree,MANHATTAN,Water Quality
Decision Tree,BROOKLYN,Dead/Dying Tree
Decision Tree,Unspecified,Drug Activity
Decision Tree,BROOKLYN,Illegal Fireworks
Decision Tree,QUEENS,Green Taxi Complaint
Decision Tree,QUEENS,Pet Shop
Decision Tree,STATEN ISLAND,Recycling Basket Complaint
Decision Tree,STATEN ISLAND,Noise - Residential
Decision Tree,MANHATTAN,Abandoned Bike
Decision Tree,STATEN ISLAND,Lifeguard
Decision Tree,QUEENS,Food Poisoning
Decision Tree,QUEENS,Disorderly Youth
Decision Tree,Unspecified,Elevator
Decision Tree,Unspecified,Food Poisoning
Decision Tree,BROOKLYN,Non-Residential Heat
Decision Tree,STATEN ISLAND,PAINT/PLASTER
Decision Tree,MANHATTAN,Incorrect Data
Decision Tree,QUEENS,Sidewalk Condition
Decision Tree,QUEENS,Dumpster Complaint
Decision Tree,STATEN ISLAND,Animal Facility - No Permit
Decision Tree,QUEENS,Recycling Basket Complaint
Decision Tree,MANHATTAN,Missed Collection
Decision Tree,BROOKLYN,Adopt-A-Basket
Decision Tree,Unspecified,Disorderly Youth
Decision Tree,QUEENS,Animal Facility - No Permit
Decision Tree,STATEN ISLAND,Noise - Commercial
Decision Tree,BROOKLYN,Lifeguard
Decision Tree,QUEENS,Noise
Decision Tree,STATEN ISLAND,Incorrect Data
Decision Tree,QUEENS,Taxi Compliment
Decision Tree,BROOKLYN,Cooling Tower
Decision Tree,BROOKLYN,Drinking Water
Decision Tree,QUEENS,Building Condition
Decision Tree,MANHATTAN,Animal-Abuse
Decision Tree,Unspecified,Dirty Condition
Decision Tree,MANHATTAN,Tattooing
Decision Tree,STATEN ISLAND,Water Conservation
Decision Tree,STATEN ISLAND,DEP Highway Condition
Decision Tree,STATEN ISLAND,Squeegee
Decision Tree,QUEENS,Street Light Condition
Decision Tree,STATEN ISLAND,Panhandling
Decision Tree,MANHATTAN,Oil or Gas Spill
Decision Tree,STATEN ISLAND,Bus Stop Shelter Placement
Decision Tree,STATEN ISLAND,Non-Residential Heat
Decision Tree,Unspecified,Unleashed Dog
Decision Tree,Unspecified,Green Taxi Complaint
Decision Tree,MANHATTAN,DSNY Internal
Decision Tree,Unspecified,Panhandling
Decision Tree,BROOKLYN,DSNY Internal
Decision Tree,Unspecified,Illegal Parking
Decision Tree,MANHATTAN,Lost Property
Decision Tree,BROOKLYN,Transfer Station Complaint
Decision Tree,STATEN ISLAND,Cooling Tower
Decision Tree,BROOKLYN,Illegal Parking
Decision Tree,Unspecified,Squeegee
Decision Tree,QUEENS,Street Sign - Damaged
Decision Tree,Unspecified,General Construction/Plumbing
Decision Tree,Unspecified,Sidewalk Condition
Decision Tree,STATEN ISLAND,Ferry Complaint
Decision Tree,STATEN ISLAND,Water Quality
Decision Tree,BROOKLYN,Highway Condition
Decision Tree,MANHATTAN,Noise - Residential
Decision Tree,MANHATTAN,Unsanitary Animal Facility
Decision Tree,MANHATTAN,General Construction/Plumbing
Decision Tree,MANHATTAN,Root/Sewer/Sidewalk Condition
Decision Tree,QUEENS,UNSANITARY CONDITION
Decision Tree,BROOKLYN,Mobile Food Vendor
Decision Tree,MANHATTAN,E-Scooter
Decision Tree,STATEN ISLAND,Drinking Water
Decision Tree,Unspecified,Street Sign - Damaged
Decision Tree,MANHATTAN,Lifeguard
Decision Tree,BROOKLYN,Missed Collection
Decision Tree,QUEENS,ELEVATOR
Decision Tree,BROOKLYN,Electrical
Decision Tree,Unspecified,Poison Ivy
Decision Tree,STATEN ISLAND,Poison Ivy
Decision Tree,Unspecified,DSNY Internal
Decision Tree,MANHATTAN,Drinking Water
Decision Tree,QUEENS,Adopt-A-Basket
Decision Tree,QUEENS,DSNY Internal
Decision Tree,STATEN ISLAND,Street Sign - Dangling
Decision Tree,MANHATTAN,Non-Residential Heat
Decision Tree,Unspecified,Street Light Condition
Decision Tree,Unspecified,Noise - Vehicle
Decision Tree,BROOKLYN,Retailer Complaint
Decision Tree,MANHATTAN,Green Taxi Complaint
Decision Tree,QUEENS,Maintenance or Facility
Decision Tree,QUEENS,Ferry Complaint
Decision Tree,STATEN ISLAND,Asbestos
Decision Tree,Unspecified,Illegal Fireworks
Decision Tree,BROOKLYN,Street Sign - Dangling
Decision Tree,STATEN ISLAND,Unsanitary Animal Facility
Decision Tree,Unspecified,PLUMBING
Decision Tree,MANHATTAN,For Hire Vehicle Report
Decision Tree,QUEENS,Emergency Response Team (ERT)
Decision Tree,BROOKLYN,Green Taxi Complaint
Decision Tree,BROOKLYN,Tattooing
Decision Tree,Unspecified,Maintenance or Facility
Decision Tree,BROOKLYN,Poison Ivy
Decision Tree,MANHATTAN,Street Sign - Dangling
Decision Tree,QUEENS,Asbestos
Decision Tree,QUEENS,Dirty Condition
Decision Tree,QUEENS,Street Sign - Dangling
Decision Tree,,Building Condition
Decision Tree,STATEN ISLAND,Dead/Dying Tree
Decision Tree,BROOKLYN,Noise - Residential
Decision Tree,Unspecified,X-Ray Machine/Equipment
Decision Tree,MANHATTAN,Asbestos
Decision Tree,STATEN ISLAND,DSNY Internal
Decision Tree,QUEENS,Sanitation Worker or Vehicle Complaint
Decision Tree,QUEENS,Illegal Animal Kept as Pet
Decision Tree,Unspecified,Day Care
Decision Tree,STATEN ISLAND,Traffic
Decision Tree,QUEENS,Abandoned Bike
Decision Tree,BROOKLYN,FLOORING/STAIRS
Decision Tree,BROOKLYN,Sidewalk Condition
Decision Tree,QUEENS,Animal-Abuse
Decision Tree,MANHATTAN,Electrical
Decision Tree,MANHATTAN,Dept of Investigations
Decision Tree,MANHATTAN,Recycling Basket Complaint
Decision Tree,,Transfer Station Complaint
Decision Tree,BROOKLYN,PAINT/PLASTER
Decision Tree,MANHATTAN,Scaffold Safety
Decision Tree,QUEENS,Construction Lead Dust
Decision Tree,QUEENS,Squeegee
Decision Tree,Unspecified,Mobile Food Vendor
Decision Tree,QUEENS,Retailer Complaint
Decision Tree,MANHATTAN,Street Condition
Decision Tree,MANHATTAN,Blocked Driveway
Decision Tree,BROOKLYN,Incorrect Data
Decision Tree,QUEENS,Boilers
Decision Tree,BROOKLYN,Recycling Basket Complaint
Decision Tree,BROOKLYN,ELECTRIC
Decision Tree,BROOKLYN,WATER LEAK
Decision Tree,STATEN ISLAND,Illegal Animal Kept as Pet
Decision Tree,MANHATTAN,DEP Highway Condition
Decision Tree,QUEENS,E-Scooter
Decision Tree,MANHATTAN,Encampment
Decision Tree,Unspecified,ELEVATOR
Decision Tree,STATEN ISLAND,Green Taxi Complaint
Decision Tree,Unspecified,Taxi Compliment
Decision Tree,Unspecified,Non-Residential Heat
Decision Tree,Unspecified,Oil or Gas Spill
Decision Tree,STATEN ISLAND,Street Sweeping Complaint
Decision Tree,QUEENS,Illegal Parking
Decision Tree,MANHATTAN,BEST/Site Safety
Decision Tree,QUEENS,Borough Office
Decision Tree,QUEENS,Oil or Gas Spill
Decision Tree,MANHATTAN,Squeegee
Decision Tree,STATEN ISLAND,Traffic Signal Condition
Decision Tree,QUEENS,Mold
Decision Tree,MANHATTAN,Animal Facility - No Permit
Decision Tree,QUEENS,Beach/Pool/Sauna Complaint
Decision Tree,QUEENS,Street Sweeping Complaint
Decision Tree,BROOKLYN,Pet Shop
Decision Tree,STATEN ISLAND,Water System
